M1,M10,M11,M12,M13,M14,M15,M2,M3,M5,M6,M7,M8,M9
0,0,0,0,0,0,0,0,0,0,155,0,0,0
0,0,0,0,0,0,0,0,0,0,0,0,155,0
0,0,0,0,0,0,0,0,0,0,151,0,0,0
0,107,41,0,0,0,0,0,0,0,0,0,0,0
29,0,0,0,0,0,14,103,0,0,0,0,0,0
0,0,0,0,0,0,0,146,0,0,0,0,0,0
0,0,0,0,0,0,0,0,0,0,0,145,0,0
0,0,0,0,0,0,0,0,0,0,142,0,0,0
0,0,0,0,0,0,0,0,0,0,0,0,142,0
0,0,0,0,0,0,0,140,0,0,0,0,0,0
0,0,0,0,0,0,0,0,140,0,0,0,0,0
0,0,0,0,0,0,0,0,0,0,0,140,0,0
0,0,0,0,0,0,0,0,0,0,139,0,0,0
0,0,0,0,0,0,0,0,0,0,138,0,0,0
0,0,0,0,0,0,0,0,136,0,0,0,0,0
0,0,0,0,0,0,0,0,136,0,0,0,0,0
0,0,0,0,0,0,0,0,136,0,0,0,0,0
0,0,0,0,0,0,0,0,0,0,0,136,0,0
0,0,0,0,0,0,0,0,0,0,0,136,0,0
0,0,0,0,0,0,0,0,0,0,0,0,0,136
65,31,32,0,0,0,0,7,0,0,0,0,0,0
0,0,0,0,0,0,0,0,0,134,0,0,0,0
0,0,0,0,0,0,0,0,0,0,0,0,0,134
0,0,0,0,0,0,0,0,132,0,0,0,0,0
17,0,0,0,0,0,0,0,0,0,0,0,114,0
0,0,116,0,0,0,0,0,0,0,0,0,15,0
0,0,0,0,0,0,0,0,0,0,0,0,0,131
0,0,0,0,0,0,0,0,0,129,0,0,0,0
0,0,0,0,0,0,0,0,0,0,0,0,0,128
0,0,0,0,0,0,0,0,0,0,127,0,0,0
0,0,0,6,0,0,0,0,0,0,0,0,0,120
0,0,0,0,0,0,0,0,0,0,0,125,0,0
0,0,0,0,0,0,0,0,124,0,0,0,0,0
25,0,0,0,0,0,0,0,98,0,0,0,0,0
0,108,0,0,0,0,15,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,0,0,0,123,0,0
0,0,0,0,0,0,0,0,0,0,122,0,0,0
0,0,0,0,0,0,0,0,0,0,0,0,122,0
0,0,0,0,0,0,0,0,0,0,0,0,0,122
0,0,0,0,0,0,0,29,0,0,91,0,0,0
